datetime_from,wind_mwh,pv_mwh,load_mwh,price_eur_mwh,total_renewable_mwh,renewable_surplus_mwh,renewable_ratio,is_negative_price,is_surplus_renewable,golden_hour,price_abs,price_log,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,price_rolling_mean_3h,price_rolling_std_3h,renewable_rolling_mean_3h,load_rolling_mean_3h,price_rolling_mean_6h,price_rolling_std_6h,renewable_rolling_mean_6h,load_rolling_mean_6h,price_rolling_mean_12h,price_rolling_std_12h,renewable_rolling_mean_12h,load_rolling_mean_12h,price_rolling_mean_24h,price_rolling_std_24h,renewable_rolling_mean_24h,load_rolling_mean_24h,price_eur_mwh_lag_1h,price_eur_mwh_lag_2h,price_eur_mwh_lag_3h,price_eur_mwh_lag_6h,price_eur_mwh_lag_12h,price_eur_mwh_lag_24h,total_renewable_mwh_lag_1h,total_renewable_mwh_lag_2h,total_renewable_mwh_lag_3h,total_renewable_mwh_lag_6h,total_renewable_mwh_lag_12h,total_renewable_mwh_lag_24h,load_mwh_lag_1h,load_mwh_lag_2h,load_mwh_lag_3h,load_mwh_lag_6h,load_mwh_lag_12h,load_mwh_lag_24h,price_state,renewable_surplus_state,load_state,renewable_ratio_state,hour_state,combined_state,state_id
2025-06-29 07:00:00,-0.44784262496638105,0.0,-0.5337498189942285,-0.13582001184132622,-0.09136242770461665,0.10882603273886107,0.026611466877110544,0,0,0,-0.13752997601918462,-0.08794266605476457,7,6,6,1,0.8965754721680542,-0.18301270189221913,0.0,0.0,0.0,0.0,-0.20678676162547147,0.48223189769043906,-0.055257254188287745,-0.4984498407755001,-0.35645997623420095,0.19766758402111959,-0.14341452949911343,-0.5465156663432312,-0.6320063906270806,0.0,-0.010949279413188044,-0.5474963468095472,-0.03199656005362249,0.059450472317814314,0.25816025573644674,-0.11658116666214753,0.006498977012877678,-0.0001220256253813925,6.275100401600718e-05,0.0577479610628782,0.2671614100185529,0.0,-0.2477038159265221,-0.30099736016496964,-0.34820525580723355,-0.4117732056417625,0.2091784726122865,0.0,-0.6907904263461658,-1.1372683801554095,-1.61934399418499,-1.2045372518690385,0.9003322259136213,0.0,3,5,1,5,7,3_5_1_5_7,17
2025-06-29 08:00:00,-0.4761209513197833,0.2904985345924983,-0.2875819697565214,-0.4602723505032563,0.21253461893527542,0.37223134933987845,0.36847721334419914,0,0,0,-0.4660671462829736,-0.3677727454044553,8,6,6,1,0.8234432871970682,-0.3535533905932735,0.0,0.0,0.0,0.0,-0.56036866359447,1.3229445037928313,0.20117170955375036,-0.32627695242904997,-0.5868531921788914,0.4076810901798416,0.0658731409072472,-0.425631863312006,-0.9236320063906273,0.16185099858858323,0.21282192398195535,-0.49423283000487106,-0.02300464139823702,0.10683851491587222,0.33001502513463904,-0.11980682997537308,-0.13154410879768916,0.013178767541183627,-6.275100401618553e-05,0.06090502499342273,0.6988249845392701,0.0,-0.10111100590221886,-0.2617930016288344,-0.3477397139325446,-0.39454608215395237,-0.07710790738313675,0.0,-0.5179350861587473,-0.9751643753735804,-1.6763129202253317,-1.4810002577984016,0.6723340498990293,0.0,3,6,2,6,8,3_6_2_6_8,18
2025-06-29 09:00:00,-0.4091136127867215,0.5495796204742591,-0.1988374257876337,-0.9994079336885732,0.502505187908819,0.6934838977850795,0.7092920817038186,0,0,0,-1.0119904076738608,-2.1095555179862164,9,6,6,1,0.7071067811865482,-0.49999999999999983,0.0,0.0,0.0,0.0,-0.8742354419773773,0.8265513646619181,0.4781192531444607,-0.17732138097442568,-0.8179215728637784,0.40351106489929994,0.3024962206408317,-0.3002545713641229,-1.2263080814804956,0.23764262485925305,0.4324792028693467,-0.4399512907939599,-0.019223229755536145,0.13194520604462906,0.375850960557476,-0.1162927428122068,-0.46130701648814526,-0.12678462477120195,0.013616967871485863,0.02354643514864499,1.1586270871985158,0.0,0.20279803048953698,-0.1127265724670823,-0.3085218242820221,-0.38684766117314623,-0.2126422434417192,0.0,-0.2717672369210401,-0.725433353257621,-1.429901871706342,-1.6149523072956948,0.2779623477297896,0.0,1,7,3,7,9,1_7_3_7_9,19
2025-06-29 10:00:00,-0.4519921619856303,0.7509103289025726,-0.09445398316129165,-1.022972172883363,0.7083408949241342,0.9017240355495735,0.9225313390893448,0,0,0,-1.0358513189448442,-2.7941381681995106,10,6,6,1,0.5554940947659454,-0.6123724356957945,0.0,0.0,0.0,0.0,-1.0744030163385003,-0.45187441666784134,0.6945494192004067,-0.1118289073131037,-1.065815058874365,0.1887658020048831,0.5414573074873209,-0.1916911630438285,-1.4986286779390232,0.1869363101957851,0.6403335052283529,-0.38661471018022386,-0.026545762668993694,0.07404664179904563,0.4137105899374883,-0.11256172147130708,-1.0092670598146587,-0.46113483831604635,-0.13033383534136553,0.003683241252302041,1.034322820037106,0.0,0.4927800397689613,0.1963106500092274,-0.1594039458687172,-0.39489126682775283,-0.26200877904678693,0.0,-0.18302269295215243,-0.3697848176927675,-1.0502907504997274,-1.7408094869811808,0.0,0.0,1,8,4,8,10,1_8_4_8_10,20
2025-06-29 11:00:00,-0.28820071464248664,0.840500014802096,-0.09443329678740614,-1.0260509177027828,0.8374902356849223,1.0637061815878546,1.081840919519324,1,1,1,-1.0327338129496402,-2.649685581062638,11,6,6,1,0.37893738196301285,-0.6830127018922192,0.0,0.0,0.0,0.0,-1.1053623795559278,-0.36143107585824324,0.8277220796751567,-0.07132135291724494,-1.3224316733282917,-0.15624721873582897,0.7581428011168799,-0.12099479757817098,-1.7329516708827062,0.01865659875708453,0.8243767361035874,-0.3281807111544083,-0.03427299515625185,0.016203307855409424,0.4723395309437388,-0.1037364446953431,-1.0332169936213742,-1.0167175106772424,-0.4742093373493976,0.0035516969218626158,0.5290661719233148,0.0,0.6986238676892971,0.49118583957184925,0.1497399386768979,-0.3944256688956499,-0.24493956604048348,0.0,-0.07863925032581039,-0.24157202630005978,-0.5096765400690533,-1.805465326114978,-0.5235489544655071,0.0,1,9,4,9,11,1_9_4_9_11,21
2025-06-29 12:00:00,-0.15775925000960542,0.8618594392966044,-0.07937361659874641,-1.086915334517466,0.8870495593236387,1.1186635260584707,1.1353835126244518,1,1,1,-0.9711031175059951,-1.6338895832834215,12,6,6,1,0.1894686909815067,-0.7071067811865475,0.0,0.0,0.0,0.0,-1.189568496020109,0.0,0.9040580826918715,-0.08177966696126665,-1.5156098087933452,-0.5353395127702693,0.9091009650354805,-0.11060785626564257,-1.960058580748237,-0.2458133550160869,0.9871930987760786,-0.24475158304919664,-0.03743471057657023,-0.0020987007968092967,0.517507682604851,-0.0967686668162201,-1.0363461307016488,-1.0410006101281268,-1.0456199799196788,0.01789002893975269,0.2683982683982682,0.0,0.827778303822239,0.7005030931805599,0.44471690238068484,-0.35520305689125076,-0.23103247415174022,0.0,-0.07861856395192486,-0.09076509264793783,-0.31478284572051607,-1.525805620005156,-0.9470392808286106,0.0,0,9,4,9,12,0_9_4_9_12,22
2025-06-29 13:00:00,0.02374457294348177,0.8660262293140709,-0.12529736662460436,-1.2609828300769688,0.9287658694777373,1.1929593634330278,1.2106261129926046,1,1,1,-0.7948441247002397,-0.8882401127126337,13,6,6,1,5.689177632308852e-16,-0.6830127018922193,0.0,0.0,0.0,0.0,-1.2890657729367407,-0.02413576959739517,0.9337497711504777,-0.12692367044035724,-1.5627093010694604,-0.5637505287187824,0.9863792230777223,-0.12627240926195804,-1.9838902942351226,-0.3245605835276964,1.110207819634456,-0.15434729663906482,-0.03280595920122414,0.021693240502513,0.5303748863840118,-0.09168796976726445,-1.0982067637501505,-1.0441732763880416,-1.0705948795180722,-0.132991318074191,0.09369202226345089,0.0,0.8773395827415333,0.8318368918951448,0.6541064003981185,-0.206067222708335,-0.20349913665772118,0.0,-0.06355888376326514,-0.09073520621637776,-0.08554424859167727,-1.0949729311678267,-1.4416650381082665,0.0,0,9,3,9,13,0_9_3_9_13,23
2025-06-29 14:00:00,0.19310715795135822,0.8282068740933716,-0.2275707991146232,-1.3072824156305507,0.9232268398336713,1.2349419053462916,1.2591701109358024,1,1,1,-0.7479616306954435,-0.7819827131763298,14,6,6,1,-0.1765567128029319,-0.6123724356957946,0.0,0.0,0.0,0.0,-1.331168831168831,-0.2996292834353104,0.9265714106147923,-0.19811876604520012,-1.5699740736739758,-0.5807387259243934,0.9906295356499992,-0.16125001342675968,-1.911409932099588,-0.07688189779016684,1.1472880310508853,-0.07833658061373573,-0.03329918680679379,0.01962019181185204,0.5006770585361922,-0.08336065553564284,-1.2751233602118184,-1.1068944478340452,-1.0738579317269077,-0.4934227834780321,0.10111317254174386,-3.566430469441983,0.9190575387431745,0.8822344719126367,0.7854855280689644,0.1031138868597025,-0.18117705797915495,1.908188489012593,-0.10948263378912311,-0.06897788404064555,-0.08549881882609486,-0.4814127352410415,-1.7909582437626212,4.551608579088472,0,9,3,9,14,0_9_3_9_14,24
2025-06-29 15:00:00,0.3385714834594844,0.7468101483170017,-0.28934031153679074,-1.2059206631142687,0.8663215951142919,1.1931177134261,1.2201289833854518,1,1,1,-0.8505995203836929,-1.0438407002811074,15,6,6,1,-0.3281693992235347,-0.5000000000000001,0.0,0.0,0.0,0.0,-1.258232090490155,0.02153257768787932,0.8571651077573841,-0.256183101160164,-1.5692448957545637,-0.578739852478648,0.9429157546483601,-0.16397475053080474,-1.7397683397683408,0.33883157563746225,1.0828981789239374,-0.02651485630784219,-0.03915468376522362,-0.003773586294019704,0.43184586561470073,-0.07073533290768277,-1.322180767842099,-1.2862721171446003,-1.1383659638554218,-1.0923441199684294,0.013296227581941641,-3.4743135518157655,0.9135182905659186,0.9246563801362444,0.8359005024641613,0.39812636970081317,-0.1712018140589569,1.7334799618506336,-0.21175606627914192,-0.1353257621040048,-0.05242594948210067,-0.26022170662541894,-1.9601980327014528,3.6796246648793565,0,9,2,9,15,0_9_2_9_15,25
2025-06-29 16:00:00,0.35313328466592386,0.6145904260043222,-0.2965391696489522,-1.054825340438129,0.7283508367722134,1.023505077096653,1.0441633790674603,1,1,1,-1.0035971223021583,-1.9780777844429291,16,6,6,1,-0.4445059052340546,-0.35355339059327395,0.0,0.0,0.0,0.0,-1.1576036866359445,-0.10164147435434062,0.7496809769347007,-0.21637697627765365,-1.3455223074430156,0.3390414384911938,0.8466837170793512,-0.13963114005721627,-1.4306750099853551,0.7024833988372163,0.9447379178746265,0.000543107647345632,-0.04255668955748642,-0.01668762016401781,0.3419733010158965,-0.056799777149435904,-1.2191599470453724,-1.3339841366687004,-1.3228539156626504,-1.1185214417258618,-0.03339517625231906,-3.473870682019485,0.8566108007448789,0.9190236622294972,0.8783370523172748,0.6075410809899575,-0.1816243316898625,1.3900772719310197,-0.27352557870130945,-0.2830842797369994,-0.15328002907504998,-5.155968032998195e-05,-2.1192104748876295,3.56970509383378,0,8,2,8,16,0_8_2_8_16,26
