datetime_from,wind_mwh,pv_mwh,load_mwh,price_eur_mwh,total_renewable_mwh,renewable_surplus_mwh,renewable_ratio,hour,day_of_week,month,is_weekend
2025-06-28 14:00:00,0.32681446190494484,0.7663415139583765,0.030305537742289154,-1.059561870929544,0.8847297947718503,1.063280615981473,1.079102883789874,14,5,6,1
2025-06-28 15:00:00,0.46075229569293424,0.6741096539269961,0.0033925653172255437,-1.034931912374186,0.8139059627417408,0.987322103679658,1.006799384858593,15,5,6,1
2025-06-28 16:00:00,0.5680255119683406,0.522869238284141,0.0,-1.0348134991119005,0.6746964185675849,0.8143346331228598,0.8408751246571387,16,5,6,1
2025-06-28 17:00:00,0.7588273715756714,0.3672474022321561,0.050909166132268674,-0.9878034339846062,0.5479694169816234,0.6310247223926684,0.6695942986859221,17,5,6,1
2025-06-28 18:00:00,0.8587236331501902,0.12856360460641228,0.12672472642270535,-0.28016577856719954,0.3140203728982065,0.30131034619267233,0.3700607383404578,18,5,6,1
2025-06-28 19:00:00,0.6557421139585815,-0.10860297818171052,0.1660081504313109,0.10230905861456484,0.019489178377269465,-0.08691435244749708,0.019535421365423185,19,5,6,1
2025-06-28 20:00:00,0.32908133860990507,-0.2493783119689748,0.09360584183198527,0.2676139727649496,-0.19767707930596431,-0.3246669701708201,-0.22139017636987565,20,5,6,1
2025-06-28 21:00:00,0.15011334383524802,-0.31133988572781907,-0.03162946567096254,0.4436944937833037,-0.3004884130127745,-0.3937075671502939,-0.3289225038007021,21,5,6,1
2025-06-28 22:00:00,0.0,-0.31754936499008257,-0.11989822304048324,0.3960923623445826,-0.33793604077735784,-0.39844817006789257,-0.3655993146344038,22,5,6,1
2025-06-28 23:00:00,0.0632420179044838,-0.31758637023002456,-0.2861546099584204,0.20260509177027825,-0.324987967207682,-0.30266621800835297,-0.33108556823516844,23,5,6,1
2025-06-29 00:00:00,0.11461174933722673,-0.31758637023002456,-0.42063672658819634,0.10278271166370624,-0.3144385617459779,-0.22509451515211495,-0.3005918203825441,0,6,6,1
2025-06-29 01:00:00,0.21631382794790024,-0.31758637023002456,-0.5777083635009619,0.03587921847246893,-0.2935527904242644,-0.12375051958591476,-0.24962614748260428,1,6,6,1
2025-06-29 02:00:00,0.2987666653859454,-0.31758637023002456,-0.6886287002751288,0.03872113676731789,-0.2766200872673331,-0.04944478533679064,-0.2073445170558955,2,6,6,1
2025-06-29 03:00:00,0.3356130172513159,-0.31758637023002456,-0.742371899629714,0.005091770278271079,-0.26905323622935684,-0.01424160250192989,-0.18671241985273915,3,6,6,1
2025-06-29 04:00:00,0.29638452376378377,-0.31744575031824507,-0.7928673382842721,-0.012788632326820584,-0.2769593725589212,0.0,-0.18946279457441476,4,6,6,1
2025-06-29 05:00:00,0.2126253505974565,-0.3008822049202167,-0.8188080511367163,-0.01290704558910602,-0.2765017319330582,0.0129846994319194,-0.18398904937766397,5,6,6,1
2025-06-29 06:00:00,-0.07403849848234526,-0.2095014654075017,-0.706605159181647,0.0,-0.23794945438190898,0.007660180914867085,-0.14716083770977226,6,6,6,1
2025-06-29 07:00:00,-0.44784262496638105,0.0,-0.5337498189942285,-0.13582001184132622,-0.09136242770461665,0.10882603273886107,0.026611466877110544,7,6,6,1
2025-06-29 08:00:00,-0.4761209513197833,0.2904985345924983,-0.2875819697565214,-0.4602723505032563,0.21253461893527542,0.37223134933987845,0.36847721334419914,8,6,6,1
2025-06-29 09:00:00,-0.4091136127867215,0.5495796204742591,-0.1988374257876337,-0.9994079336885732,0.502505187908819,0.6934838977850795,0.7092920817038186,9,6,6,1
2025-06-29 10:00:00,-0.4519921619856303,0.7509103289025726,-0.09445398316129165,-1.022972172883363,0.7083408949241342,0.9017240355495735,0.9225313390893448,10,6,6,1
2025-06-29 11:00:00,-0.28820071464248664,0.840500014802096,-0.09443329678740614,-1.0260509177027828,0.8374902356849223,1.0637061815878546,1.081840919519324,11,6,6,1
2025-06-29 12:00:00,-0.15775925000960542,0.8618594392966044,-0.07937361659874641,-1.086915334517466,0.8870495593236387,1.1186635260584707,1.1353835126244518,12,6,6,1
2025-06-29 13:00:00,0.02374457294348177,0.8660262293140709,-0.12529736662460436,-1.2609828300769688,0.9287658694777373,1.1929593634330278,1.2106261129926046,13,6,6,1
2025-06-29 14:00:00,0.19310715795135822,0.8282068740933716,-0.2275707991146232,-1.3072824156305507,0.9232268398336713,1.2349419053462916,1.2591701109358024,14,6,6,1
