datetime_from,wind_mwh,pv_mwh,load_mwh,price_eur_mwh,total_renewable_mwh,renewable_surplus_mwh,renewable_ratio,is_negative_price,is_surplus_renewable,golden_hour,price_abs,price_log,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2025-06-28 14:00:00,0.32681446190494484,0.7663415139583765,0.030305537742289154,-1.059561870929544,0.8847297947718503,1.063280615981473,1.079102883789874,1,1,1,-0.9988009592326138,-1.9137502580802093,14,5,6,1,-0.1765567128029319,-0.6123724356957946,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 15:00:00,0.46075229569293424,0.6741096539269961,0.0033925653172255437,-1.034931912374186,0.8139059627417408,0.987322103679658,1.006799384858593,1,0,0,-1.0237410071942445,-2.357780521115002,15,5,6,1,-0.3281693992235347,-0.5000000000000001,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 16:00:00,0.5680255119683406,0.522869238284141,0.0,-1.0348134991119005,0.6746964185675849,0.8143346331228598,0.8408751246571387,1,0,0,-1.023860911270983,-2.360897902058378,16,5,6,1,-0.4445059052340546,-0.35355339059327395,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 17:00:00,0.7588273715756714,0.3672474022321561,0.050909166132268674,-0.9878034339846062,0.5479694169816234,0.6310247223926684,0.6695942986859221,0,0,0,-1.0002398081534771,-1.9323630552555893,17,5,6,1,-0.5176380902050411,-0.18301270189221913,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 18:00:00,0.8587236331501902,0.12856360460641228,0.12672472642270535,-0.28016577856719954,0.3140203728982065,0.30131034619267233,0.3700607383404578,0,0,0,-0.2836930455635492,-0.19733900960361983,18,5,6,1,-0.5425821165873708,0.0,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 19:00:00,0.6557421139585815,-0.10860297818171052,0.1660081504313109,0.10230905861456484,0.019489178377269465,-0.08691435244749708,0.019535421365423185,0,0,0,0.10359712230215827,0.05892803062427532,19,5,6,1,-0.5176380902050411,0.18301270189221913,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 20:00:00,0.32908133860990507,-0.2493783119689748,0.09360584183198527,0.2676139727649496,-0.19767707930596431,-0.3246669701708201,-0.22139017636987565,0,0,0,0.2709832134292565,0.1437630950688655,20,5,6,1,-0.44450590523405475,0.353553390593274,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 21:00:00,0.15011334383524802,-0.31133988572781907,-0.03162946567096254,0.4436944937833037,-0.3004884130127745,-0.3937075671502939,-0.3289225038007021,0,0,0,0.4492805755395683,0.2230196392416994,21,5,6,1,-0.3281693992235351,0.5000000000000001,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 22:00:00,0.0,-0.31754936499008257,-0.11989822304048324,0.3960923623445826,-0.33793604077735784,-0.39844817006789257,-0.3655993146344038,0,0,0,0.4010791366906475,0.20256494450022614,22,5,6,1,-0.17655671280293242,0.6123724356957946,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-28 23:00:00,0.0632420179044838,-0.31758637023002456,-0.2861546099584204,0.20260509177027825,-0.324987967207682,-0.30266621800835297,-0.33108556823516844,0,0,0,0.20515587529976018,0.1117598872873663,23,5,6,1,0.0,0.6830127018922194,-0.2469796037174669,-2.2469796037174663,0.0,0.0
2025-06-29 00:00:00,0.11461174933722673,-0.31758637023002456,-0.42063672658819634,0.10278271166370624,-0.3144385617459779,-0.22509451515211495,-0.3005918203825441,0,0,0,0.10407673860911261,0.05918832571745912,0,6,6,1,0.18946869098150662,0.7071067811865478,0.0,0.0,0.0,0.0
2025-06-29 01:00:00,0.21631382794790024,-0.31758637023002456,-0.5777083635009619,0.03587921847246893,-0.2935527904242644,-0.12375051958591476,-0.24962614748260428,0,0,0,0.03633093525179857,0.02130403357194542,1,6,6,1,0.3789373819630127,0.6830127018922195,0.0,0.0,0.0,0.0
2025-06-29 02:00:00,0.2987666653859454,-0.31758637023002456,-0.6886287002751288,0.03872113676731789,-0.2766200872673331,-0.04944478533679064,-0.2073445170558955,0,0,0,0.03920863309352513,0.022960849872703203,2,6,6,1,0.5554940947659454,0.6123724356957948,0.0,0.0,0.0,0.0
2025-06-29 03:00:00,0.3356130172513159,-0.31758637023002456,-0.742371899629714,0.005091770278271079,-0.26905323622935684,-0.01424160250192989,-0.18671241985273915,0,0,0,0.005155875299760103,0.003067918275138463,3,6,6,1,0.7071067811865482,0.5000000000000002,0.0,0.0,0.0,0.0
2025-06-29 04:00:00,0.29638452376378377,-0.31744575031824507,-0.7928673382842721,-0.012788632326820584,-0.2769593725589212,0.0,-0.18946279457441476,0,0,0,-0.012949640287769763,-0.007772538503655624,4,6,6,1,0.8234432871970682,0.353553390593274,0.0,0.0,0.0,0.0
2025-06-29 05:00:00,0.2126253505974565,-0.3008822049202167,-0.8188080511367163,-0.01290704558910602,-0.2765017319330582,0.0129846994319194,-0.18398904937766397,0,0,0,-0.013069544364508433,-0.00784495998377551,5,6,6,1,0.8965754721680542,0.18301270189221944,0.0,0.0,0.0,0.0
2025-06-29 06:00:00,-0.07403849848234526,-0.2095014654075017,-0.706605159181647,0.0,-0.23794945438190898,0.007660180914867085,-0.14716083770977226,0,0,0,0.0,0.0,6,6,6,1,0.9215194985503841,1.7319121124709868e-16,0.0,0.0,0.0,0.0
2025-06-29 07:00:00,-0.44784262496638105,0.0,-0.5337498189942285,-0.13582001184132622,-0.09136242770461665,0.10882603273886107,0.026611466877110544,0,0,0,-0.13752997601918462,-0.08794266605476457,7,6,6,1,0.8965754721680542,-0.18301270189221913,0.0,0.0,0.0,0.0
2025-06-29 08:00:00,-0.4761209513197833,0.2904985345924983,-0.2875819697565214,-0.4602723505032563,0.21253461893527542,0.37223134933987845,0.36847721334419914,0,0,0,-0.4660671462829736,-0.3677727454044553,8,6,6,1,0.8234432871970682,-0.3535533905932735,0.0,0.0,0.0,0.0
2025-06-29 09:00:00,-0.4091136127867215,0.5495796204742591,-0.1988374257876337,-0.9994079336885732,0.502505187908819,0.6934838977850795,0.7092920817038186,0,0,0,-1.0119904076738608,-2.1095555179862164,9,6,6,1,0.7071067811865482,-0.49999999999999983,0.0,0.0,0.0,0.0
2025-06-29 10:00:00,-0.4519921619856303,0.7509103289025726,-0.09445398316129165,-1.022972172883363,0.7083408949241342,0.9017240355495735,0.9225313390893448,0,0,0,-1.0358513189448442,-2.7941381681995106,10,6,6,1,0.5554940947659454,-0.6123724356957945,0.0,0.0,0.0,0.0
